business_name,website,public_phone,public_business_email,city,state,category,source_platform,source_url,contact_page_url,normalized_domain,notes,niche_tag,geography_tag,record_status,failure_reasons,quality_score,has_valid_phone,has_valid_email,has_contact_page,domain_status
Stone Roofing Company,https://stoneroof.com/,(800) 317-8663,info@stoneroof.com,Los Angeles,CA,roofing contractor,public_business_site,https://stoneroof.com/,https://stoneroof.com/contact-us/,stoneroof.com,"Seeded from Brave search API result for Los Angeles, CA; manual staged net-new row pending homepage enrichment. Enriched homepage/contact fields: phone, email, contact_url.",roofing,los-angeles-ca,pass,,100,true,true,true,valid_business_site
Bilt-Well Roofing,https://biltwellroofing.com/,(323) 254-2888,roofinfo@biltwell.com,Los Angeles,CA,roofing contractor,public_business_site,https://biltwellroofing.com/,https://biltwellroofing.com/wp-content/plugins/contact-form-7/includes/css/styles.css,biltwellroofing.com,"Seeded from Brave search API result for Los Angeles, CA; manual staged net-new row pending homepage enrichment. Enriched homepage/contact fields: phone, email, contact_url.",roofing,los-angeles-ca,pass,,100,true,true,true,valid_business_site
Allstate Roofing Contractors,https://www.allstateroofingaz.com/,(602) 484-7663,info@allstateroofingaz.com,Phoenix,AZ,roofing contractor,public_business_site,https://www.allstateroofingaz.com/,https://www.allstateroofingaz.com/contact-us/,allstateroofingaz.com,"Seeded from Brave search API result for Phoenix, AZ; manual staged net-new row pending homepage enrichment. Enriched homepage/contact fields: phone, email, contact_url.",roofing,phoenix-az,pass,,100,true,true,true,valid_business_site
Scott Roofing Company,https://scottroofingco.com/,(602) 442-7663,,Phoenix,AZ,roofing contractor,public_business_site,https://scottroofingco.com/,https://scottroofingco.com/contact/,scottroofingco.com,"Seeded from Brave search API result for Phoenix, AZ; manual staged net-new row pending homepage enrichment. Enriched homepage/contact fields: phone, contact_url.",roofing,phoenix-az,review,missing_email,80,true,false,true,valid_business_site
O'Danny Boy Builders,https://www.odannyboybuilders.com/,(708) 854-6029,,Chicago,IL,roofing contractor,public_business_site,https://www.odannyboybuilders.com/,https://www.odannyboybuilders.com/free-estimate/,odannyboybuilders.com,"Seeded from Brave search API result for Chicago, IL; manual staged net-new row pending homepage enrichment. Enriched homepage/contact fields: phone, contact_url.",roofing,chicago-il,review,missing_email,80,true,false,true,valid_business_site
Chicago Roofing Solutions,https://www.chicagoroofingsolution.com/,(312) 588-6969,info@chicagoroofingsolution.com,Chicago,IL,roofing contractor,public_business_site,https://www.chicagoroofingsolution.com/,https://chicagoroofingsolution.com/contact/,chicagoroofingsolution.com,"Seeded from Brave search API result for Chicago, IL; manual staged net-new row pending homepage enrichment. Enriched homepage/contact fields: phone, email, contact_url.",roofing,chicago-il,pass,,100,true,true,true,valid_business_site
Paragon Exterior,https://www.paragonexterior.com/,,,Philadelphia,PA,roofing contractor,public_business_site,https://www.paragonexterior.com/,,paragonexterior.com,"Seeded from Brave search API result for Philadelphia, PA; manual staged net-new row pending homepage enrichment. Enrichment found no contact fields.",roofing,philadelphia-pa,review,missing_phone|missing_email|missing_contact_page,45,false,false,false,valid_business_site
Philadelphia Quality Roofing,https://philadelphiaqualityroofing.com/,(844) 820-9818,,Philadelphia,PA,roofing contractor,public_business_site,https://philadelphiaqualityroofing.com/,,philadelphiaqualityroofing.com,"Seeded from Brave search API result for Philadelphia, PA; manual staged net-new row pending homepage enrichment. Enriched homepage/contact fields: phone.",roofing,philadelphia-pa,review,missing_email|missing_contact_page,70,true,false,false,valid_business_site
Christian Roofing,https://www.christianroofing.com/,(619) 812-2407,info@christianroofing.com,San Diego,CA,roofing contractor,public_business_site,https://www.christianroofing.com/,https://www.christianroofing.com/contact,christianroofing.com,"Seeded from Brave search API result for San Diego, CA; manual staged net-new row pending homepage enrichment. Enriched homepage/contact fields: phone, email, contact_url.",roofing,san-diego-ca,pass,,100,true,true,true,valid_business_site
Cal Roof,https://calroof.com/,(619) 500-1119,,San Diego,CA,roofing contractor,public_business_site,https://calroof.com/,https://calroof.com/contact-us/,calroof.com,"Seeded from Brave search API result for San Diego, CA; manual staged net-new row pending homepage enrichment. Enriched homepage/contact fields: phone, contact_url.",roofing,san-diego-ca,review,missing_email,80,true,false,true,valid_business_site
