business_name,category,city,contact_page_url,geography_tag,has_contact_page,has_email,has_phone,job_state,last_attempt_at,niche_tag,normalized_domain,notes,pipeline_stage,public_business_email,public_phone,retry_count,source_platform,source_url,state,website,record_status,failure_reasons,quality_score,has_valid_phone,has_valid_email,domain_status
Longhorn Roofing,roofing contractor,Austin,,austin-tx,false,false,false,ready_for_validation,2026-03-26T22:26:32.593625+00:00,roofing,austinlonghornroofing.com,Verified from public website homepage. No public business email captured in homepage fetch. No contact page URL captured in homepage fetch. Removed suspicious or malformed phone captured from homepage fetch.,enriched,,,0,public_business_site,https://www.austinlonghornroofing.com/,TX,https://www.austinlonghornroofing.com/,fail,notes_hard_fail,20,false,false,valid_business_site
LOA Construction and Austin Roofing,roofing contractor,Austin,,austin-tx,false,false,false,ready_for_validation,2026-03-26T22:26:32.593628+00:00,roofing,loaconstruction.com,Verified from public website homepage. No public business email captured in homepage fetch. No contact page URL captured in homepage fetch. Removed suspicious or malformed phone captured from homepage fetch.,enriched,,,0,public_business_site,https://www.loaconstruction.com/austin/,TX,https://www.loaconstruction.com/austin/,fail,notes_hard_fail,20,false,false,valid_business_site
Dolan Roofing & Construction,roofing contractor,San Antonio,https://www.dolanroofing.com/contact-us/,san-antonio-tx,true,false,true,ready_for_validation,2026-03-26T22:26:32.593642+00:00,roofing,dolanroofing.com,Verified from public website homepage. Removed placeholder/non-business email captured from homepage fetch.,enriched,,(210) 465-1757,0,public_business_site,https://www.dolanroofing.com/,TX,https://www.dolanroofing.com/,fail,notes_hard_fail,55,true,false,valid_business_site
Reveille Roofing,roofing contractor,San Antonio,,san-antonio-tx,false,false,true,ready_for_validation,2026-03-26T22:26:32.593643+00:00,roofing,reveilleroofing.com,Verified from public website homepage. No public business email captured in homepage fetch. No contact page URL captured in homepage fetch.,enriched,,(333) 333-3333,0,public_business_site,https://reveilleroofing.com/,TX,https://reveilleroofing.com/,fail,bad_phone,20,false,false,valid_business_site
Veritas Roofing,roofing contractor,Fort Worth,,fort-worth-tx,false,false,true,ready_for_validation,2026-03-26T22:26:32.593652+00:00,roofing,veritasroofingtx.com,Verified from public website homepage. Removed placeholder/non-business email captured from homepage fetch. Removed asset URL incorrectly captured as contact page.,enriched,,(817) 455-0117,0,public_business_site,https://www.veritasroofingtx.com/,TX,https://www.veritasroofingtx.com/,fail,notes_hard_fail,45,true,false,valid_business_site
"Dave's Roofing, Siding, and Metal Buildings",roofing contractor,Lubbock,https://www.davesroofing.net/contact,lubbock-tx,true,true,true,ready_for_validation,2026-03-26T22:26:32.593690+00:00,roofing,davesroofing.net,Verified from public website homepage.,enriched,user@domain.com,(314) 192-5352,0,public_business_site,https://www.davesroofing.net,TX,https://www.davesroofing.net,fail,bad_email,55,true,false,valid_business_site
G.G.C. Roofing and Remodeling,roofing contractor,Lubbock,https://www.hugeDomains.com/contact.cfm,lubbock-tx,true,false,true,ready_for_validation,2026-03-26T22:26:32.593696+00:00,roofing,hugedomains.com,Verified from public website homepage. No public business email captured in homepage fetch.,enriched,,(303) 893-0552,0,public_business_site,https://www.ggcroofing.com/,TX,https://www.hugedomains.com/domain_profile.cfm?d=ggcroofing.com,fail,domain_status:parked,15,true,false,parked
Clark Roofing - Waco,roofing contractor,Waco,,waco-tx,false,false,false,ready_for_validation,2026-03-26T22:26:32.593703+00:00,roofing,clarkroofingtx.com,Verified from public website homepage. No public business email captured in homepage fetch. No contact page URL captured in homepage fetch. Removed suspicious or malformed phone captured from homepage fetch.,enriched,,,0,public_business_site,https://www.clarkroofingtx.com/,TX,https://www.clarkroofingtx.com/,fail,notes_hard_fail,20,false,false,valid_business_site
XYZ Roofing and Restorations,roofing contractor,Brownsville,,brownsville-tx,false,false,false,ready_for_validation,2026-03-26T22:26:32.593723+00:00,roofing,xyzroofingandrestorations.com,Verified from public website homepage. No public business email captured in homepage fetch. No contact page URL captured in homepage fetch. Removed suspicious or malformed phone captured from homepage fetch.,enriched,,,0,public_business_site,https://xyzroofingandrestorations.com/brownsville-tx-roofing/,TX,https://xyzroofingandrestorations.com/brownsville-tx-roofing/,fail,notes_hard_fail,20,false,false,valid_business_site
Project One Roofing,roofing contractor,Tyler,,tyler-tx,false,false,false,ready_for_validation,2026-03-26T22:26:32.593745+00:00,roofing,projectoneroofing.com,Verified from public website homepage. No public business email captured in homepage fetch. No contact page URL captured in homepage fetch. Removed suspicious or malformed phone captured from homepage fetch.,enriched,,,0,public_business_site,https://projectoneroofing.com/roofing-tyler-whitehouse-tx,TX,https://projectoneroofing.com/roofing-tyler-whitehouse-tx,fail,notes_hard_fail,20,false,false,valid_business_site
Estes Roofing,roofing contractor,Tyler,https://estesroofingtx.com/roof-quote/,tyler-tx,true,false,true,ready_for_validation,2026-03-26T22:26:32.593748+00:00,roofing,estesroofingtx.com,Verified from public website homepage. Removed placeholder/non-business email captured from homepage fetch.,enriched,,(903) 707-2219,0,public_business_site,https://estesroofingtx.com/,TX,https://estesroofingtx.com/,fail,notes_hard_fail,55,true,false,valid_business_site
ASAP Roofing,roofing contractor,Tyler,https://asaproofing.com/college-station-tx/roof-inspection/,tyler-tx,true,false,true,ready_for_validation,2026-03-26T22:26:32.593749+00:00,roofing,asaproofing.com,Verified from public website homepage. Removed placeholder/non-business email captured from homepage fetch.,enriched,,(903) 363-9160,0,public_business_site,https://asaproofing.com/,TX,https://asaproofing.com/,fail,notes_hard_fail,55,true,false,valid_business_site
