business_name,category,city,contact_page_url,geography_tag,has_contact_page,has_email,has_phone,job_state,last_attempt_at,niche_tag,normalized_domain,notes,pipeline_stage,public_business_email,public_phone,retry_count,source_platform,source_url,state,website,record_status,failure_reasons,quality_score,has_valid_phone,has_valid_email,domain_status
Moss Roofing Houston,roofing contractor,Houston,,houston-tx,false,true,true,ready_for_validation,2026-03-26T22:26:32.593399+00:00,roofing,mossroofinghouston.com,Verified from public website homepage; no contact URL captured in fetch.,enriched,info@mossroofinghouston.com,(832) 840-8027,0,public_business_site,https://mossroofinghouston.com/,TX,https://mossroofinghouston.com/,review,missing_contact_page,90,true,true,valid_business_site
Integris Roofing,roofing contractor,Houston,https://integrisroofing.com/contact-us/,houston-tx,true,false,true,ready_for_validation,2026-03-26T22:26:32.593590+00:00,roofing,integrisroofing.com,Verified from public website; no public business email captured in fetch.,enriched,,(713) 714-5096,0,public_business_site,https://integrisroofing.com/,TX,https://integrisroofing.com/,review,missing_email|notes_review,80,true,false,valid_business_site
Monarch Roofing Houston,roofing contractor,Houston,https://www.monarch-roofing.com/contact,houston-tx,true,false,true,ready_for_validation,2026-03-26T22:26:32.593599+00:00,roofing,monarch-roofing.com,Verified from public website; no public business email captured in fetch.,enriched,,(832) 215-0987,0,public_business_site,https://www.monarch-roofing.com/,TX,https://www.monarch-roofing.com/,review,missing_email|notes_review,80,true,false,valid_business_site
Advanced Roofing Solutions,roofing contractor,Houston,https://www.advancedroofinghouston.com/contact/,houston-tx,true,false,true,ready_for_validation,2026-03-26T22:26:32.593601+00:00,roofing,advancedroofinghouston.com,Phone manually corrected from official homepage text fetch; no public business email captured.,enriched,,(832) 952-0907,0,public_business_site,https://www.advancedroofinghouston.com/,TX,https://www.advancedroofinghouston.com/,review,missing_email|notes_review,80,true,false,valid_business_site
Braun's Roofing,roofing contractor,Houston,https://www.braunsroofing.com/contact,houston-tx,true,false,true,ready_for_validation,2026-03-26T22:26:32.593602+00:00,roofing,braunsroofing.com,Verified from public website; no public business email captured in fetch.,enriched,,(713) 645-0505,0,public_business_site,https://www.braunsroofing.com/,TX,https://www.braunsroofing.com/,review,missing_email|notes_review,80,true,false,valid_business_site
Holden Roofing,roofing contractor,Dallas,https://holdenroofing.com/contact-us/dallas-roofing/,dallas-tx,true,false,true,ready_for_validation,2026-03-26T22:26:32.593611+00:00,roofing,holdenroofing.com,Phone manually corrected from official search snippet for Dallas page; no public business email captured.,enriched,,(888) 553-1318,0,public_business_site,https://holdenroofing.com/contact-us/dallas-roofing/,TX,https://holdenroofing.com/contact-us/dallas-roofing/,review,missing_email|notes_review,80,true,false,valid_business_site
Firefighter Roofing,roofing contractor,Dallas,https://firefighterroofing.com/quote/,dallas-tx,true,false,true,ready_for_validation,2026-03-26T22:26:32.593616+00:00,roofing,firefighterroofing.com,Dallas phone taken from official homepage search snippet; no public business email captured.,enriched,,(972) 587-0514,0,public_business_site,https://firefighterroofing.com/,TX,https://firefighterroofing.com/,review,missing_email|notes_review,80,true,false,valid_business_site
Medranos Roofing DFW,roofing contractor,Dallas,https://www.medranoroofingdfw.com/contact/,dallas-tx,true,false,true,ready_for_validation,2026-03-26T22:26:32.593617+00:00,roofing,medranoroofingdfw.com,Removed non-business/test email captured in raw HTML; phone verified from official search result.,enriched,,(214) 675-9832,0,public_business_site,https://www.medranoroofingdfw.com/,TX,https://www.medranoroofingdfw.com/,review,missing_email,80,true,false,valid_business_site
KPost Roofing & Waterproofing,roofing contractor,Dallas,https://kpostcompany.com/contact/,dallas-tx,true,false,true,ready_for_validation,2026-03-26T22:26:32.593618+00:00,roofing,kpostcompany.com,Phone manually corrected from official KPost contact search result; no public business email captured.,enriched,,(972) 910-8777,0,public_business_site,https://kpostcompany.com/,TX,https://kpostcompany.com/,review,missing_email|notes_review,80,true,false,valid_business_site
"Bold Roofing Company, Inc.",roofing contractor,Dallas,https://boldroofing.com/contact-us/,dallas-tx,true,false,true,ready_for_validation,2026-03-26T22:26:32.593622+00:00,roofing,boldroofing.com,Added to avoid duplicate normalized_domain collision from a second Holland Roofing location record; phone verified from official contact page text.,enriched,,(972) 380-9300,0,public_business_site,https://boldroofing.com/contact-us/,TX,https://boldroofing.com/,review,missing_email,80,true,false,valid_business_site
