business_name,category,city,contact_page_url,geography_tag,has_contact_page,has_email,has_phone,job_state,last_attempt_at,niche_tag,normalized_domain,notes,pipeline_stage,public_business_email,public_phone,retry_count,source_platform,source_url,state,website,record_status,failure_reasons,quality_score,has_valid_phone,has_valid_email,domain_status
Texas Certified Roofing,roofing contractor,Houston,https://www.texascertifiedroofing.com/contact,houston-tx,true,true,true,ready_for_validation,2026-03-26T22:26:32.593582+00:00,roofing,texascertifiedroofing.com,Verified from public website and contact page.,enriched,yogi@texascertifiedroofing.com,(713) 781-8333,0,public_business_site,https://www.texascertifiedroofing.com/,TX,https://www.texascertifiedroofing.com/,pass,,100,true,true,valid_business_site
Arnold Roofing & Construction,roofing contractor,Houston,https://www.arnoldroofingandconstruction.com/contact,houston-tx,true,true,true,ready_for_validation,2026-03-26T22:26:32.593585+00:00,roofing,arnoldroofingandconstruction.com,Verified from public website and contact page.,enriched,arnoldroofingandconstruction@gmail.com,(832) 548-4010,0,public_business_site,https://www.arnoldroofingandconstruction.com/,TX,https://www.arnoldroofingandconstruction.com/,pass,,100,true,true,valid_business_site
Southwestern Roofing,roofing contractor,Houston,https://www.southwesternroof.com/contact,houston-tx,true,true,true,ready_for_validation,2026-03-26T22:26:32.593588+00:00,roofing,southwesternroof.com,Verified from direct contact page.,enriched,southwesternroof@yahoo.com,(281) 955-6014,0,public_business_site,https://www.southwesternroof.com/contact,TX,https://www.southwesternroof.com/contact,pass,,100,true,true,valid_business_site
Holland Roofing - Houston,roofing contractor,Houston,https://www.hollandroofing.com/contact/,houston-tx,true,true,true,ready_for_validation,2026-03-26T22:26:32.593591+00:00,roofing,hollandroofing.com,Verified from Houston location page and site contact page.,enriched,info@hollandroofing.com,(877) 491-6533,0,public_business_site,https://www.hollandroofing.com/location/houston-texas/,TX,https://www.hollandroofing.com/location/houston-texas/,pass,,100,true,true,valid_business_site
Elevation Roofing & Restoration,roofing contractor,Houston,https://elevationrr.com/contact-us,houston-tx,true,true,true,ready_for_validation,2026-03-26T22:26:32.593595+00:00,roofing,elevationrr.com,Verified from public website and contact page.,enriched,info@elevationrr.com,(832) 753-5775,0,public_business_site,https://elevationrr.com/,TX,https://elevationrr.com/,pass,,100,true,true,valid_business_site
Rose Roofing,roofing contractor,Houston,https://www.roseroofing.com/contact-us/,houston-tx,true,true,true,ready_for_validation,2026-03-26T22:26:32.593596+00:00,roofing,roseroofing.com,Verified from public website and contact page.,enriched,office@roseroofing.com,(713) 849-5155,0,public_business_site,https://www.roseroofing.com/,TX,https://www.roseroofing.com/,pass,,100,true,true,valid_business_site
State Roofing Company,roofing contractor,Houston,https://www.stateroofingtexas.com/contact,houston-tx,true,true,true,ready_for_validation,2026-03-26T22:26:32.593598+00:00,roofing,stateroofingtexas.com,Verified from public website and contact page.,enriched,hello@stateroofingtexas.com,(281) 293-7000,0,public_business_site,https://www.stateroofingtexas.com/,TX,https://www.stateroofingtexas.com/,pass,,100,true,true,valid_business_site
TrueWorks Roofing,roofing contractor,Houston,https://trueworksroofing.com/contact-us/,houston-tx,true,true,true,ready_for_validation,2026-03-26T22:26:32.593604+00:00,roofing,trueworksroofing.com,Phone and contact URL verified from official site search result + contact page URL.,enriched,hello@trueworksroofing.com,(713) 903-7663,0,public_business_site,https://trueworksroofing.com/,TX,https://trueworksroofing.com/,pass,,100,true,true,valid_business_site
T Rock Roofing & Contracting,roofing contractor,Dallas,https://dallasroofer.com/contact/,dallas-tx,true,true,true,ready_for_validation,2026-03-26T22:26:32.593606+00:00,roofing,dallasroofer.com,Verified from public website and contact page.,enriched,info@dallasroofer.com,(469) 931-9867,0,public_business_site,https://dallasroofer.com/,TX,https://dallasroofer.com/,pass,,100,true,true,valid_business_site
"Bert Roofing, Inc.",roofing contractor,Dallas,https://bertroofing.com/contact-us/,dallas-tx,true,true,true,ready_for_validation,2026-03-26T22:26:32.593607+00:00,roofing,bertroofing.com,Verified from public website and contact page.,enriched,mail@bertroofing.com,(214) 321-9341,0,public_business_site,https://bertroofing.com/,TX,https://bertroofing.com/,pass,,100,true,true,valid_business_site
Lon Smith Roofing,roofing contractor,Dallas,https://www.lonsmith.com/contacts,dallas-tx,true,true,true,ready_for_validation,2026-03-26T22:26:32.593608+00:00,roofing,lonsmith.com,Verified from public website and contact page.,enriched,info@lonsmith.com,(214) 221-1400,0,public_business_site,https://www.lonsmith.com/,TX,https://www.lonsmith.com/,pass,,100,true,true,valid_business_site
FW Walton Roofing - Dallas,roofing contractor,Dallas,https://waltonroofing.com/contact-us/,dallas-tx,true,true,true,ready_for_validation,2026-03-26T22:26:32.593610+00:00,roofing,waltonroofing.com,Verified from Dallas location page and site contact page.,enriched,info@waltonroofing.com,(713) 674-9777,0,public_business_site,https://waltonroofing.com/locations/dallas-tx/,TX,https://waltonroofing.com/locations/dallas-tx/,pass,,100,true,true,valid_business_site
Arrington Roofing,roofing contractor,Dallas,https://arringtonroofing.com/contact,dallas-tx,true,true,true,ready_for_validation,2026-03-26T22:26:32.593613+00:00,roofing,arringtonroofing.com,Verified from direct contact page.,enriched,info@arringtonroofing.com,(214) 698-8443,0,public_business_site,https://arringtonroofing.com/contact,TX,https://arringtonroofing.com/contact,pass,,100,true,true,valid_business_site
Priority Roofing,roofing contractor,Dallas,https://priorityroofs.com/contact-us/,dallas-tx,true,true,true,ready_for_validation,2026-03-26T22:26:32.593614+00:00,roofing,priorityroofs.com,Phone/email manually corrected from official search snippet for Dallas location page.,enriched,office@priorityroofs.com,(469) 615-8193,0,public_business_site,https://priorityroofs.com/location/dallas/,TX,https://priorityroofs.com/location/dallas/,pass,,100,true,true,valid_business_site
Dane Roofing,roofing contractor,Dallas,https://www.danesroofing.com/contact-us/,dallas-tx,true,true,true,ready_for_validation,2026-03-26T22:26:32.593620+00:00,roofing,danesroofing.com,Verified from public website and contact page.,enriched,kelly@danesroofing.com,(469) 585-3263,0,public_business_site,https://www.danesroofing.com/,TX,https://www.danesroofing.com/,pass,,100,true,true,valid_business_site
